magatCost,magatMakespan,magatSucceed,ECBSCost,ECBSMakespan
1456,46,1,1191,35
1337,38,1,1180,37
1287,42,1,1189,35
1558,107,0,1147,35
1406,102,1,1179,35
1351,94,1,1143,34
1355,119,0,1160,39
1540,110,0,1188,37
1702,111,0,1165,37
1333,65,1,1159,35
