magatCost,magatMakespan,magatSucceed,ECBSCost,ECBSMakespan
413,23,1,380,21
413,21,1,387,19
431,33,1,406,21
387,19,1,380,19
440,30,1,386,20
387,20,1,382,19
404,20,1,394,19
392,21,1,389,21
416,24,1,380,20
418,23,1,378,21
