magatCost,magatMakespan,magatSucceed,ECBSCost,ECBSMakespan
30,5,1,30,5
34,5,1,34,5
29,5,1,29,5
23,5,1,23,5
29,5,1,29,5
22,3,1,22,3
30,5,1,30,5
28,6,1,28,6
31,6,1,31,6
30,6,1,30,6
