magatCost,magatMakespan,magatSucceed,ECBSCost,ECBSMakespan
3505,87,1,2438,47
3265,158,0,2440,52
3175,158,0,2462,52
3393,158,0,2423,52
3369,164,0,2467,54
3474,161,0,2435,53
3125,97,1,2404,51
3074,86,1,2461,51
3521,153,0,2459,51
